As of 4/14/2022 this ammo chart is no longer up to date and will not be updated anymore. Please use the new website: https://www.eft-ammo.com,,,,,,,,,,,,,,,,,
,,,,,,Effectiveness,Est. Avg. Shots Stopped By Armor Before Killing,,,,,,,,,,
,,,,,0,Pointless,20+,Can't penetrate in any reasonable amount of hits,,,,,,,,,
,,,,,1,"It's Possible, But...",13 to 20,"Typically doesn't penetrate at all for a large number of hits, or starts with a very low chance and barely increases",,,,,,,,,
,,,,,2,Magdump Only,9 to 13,Has a very low or no penetration chance intially and very slowly gains chance,,,,,,,,,
,,,,,,,,,,,,,,,,,
,That armor will stop quite a few of your bullets,,,,3,Slightly Effective,5 to 9,"Has a low penetration chance intially and slowly gains chance, or quickly damages armor until it penetrates",,,,,,,,,
,,,,,4,Effective,3 to 5,Starts with a low-medium penetration chance but quickly increases,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Has no problems against that armor,,,,5,Very Effective,1 to 3,"Penetrates a large percent of the time intially, often quickly going to >90%",,,,,,,,,
,,,,,6,Basically Ignores,<1,Initially penetrates >80% of the time,,,,,,,,,
,,,,,,*Note this is just a comparison guideline on what you should use and not always exactly representative of it's true #of shots performance against armor,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Contact:,,,,,,,,,,,,,,,,
,"Any questions, comments, or suggestions:",,,,https://discord.gg/wexEyCg,,,,,,,,,,,,
,Just want to say hi?,,https://www.twitch.tv/nofoodaftermidnight,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,New Website Out Now!,,,,This chart will continue to be updated! Feel free to use whichever you like!,,,,,,,,,,,,
,https://eft-ammo.com,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Damage - This is how much health damage a bullet does,,,,,,,,,,,,,,,,
,"Pen Value - A value used to determine how well a bullet penetrates armor and how much durability damage it does to armor, the higher the better.",,,,,,,,,,,,,,,,
,"Armor Damage % - A modifier used in calculating durability damage, the higher the better. ",,,,,,,,,,,,,,,,
,"Frag. Chance - The chance a bullet will fragment, splitting into pieces on hit and essentially dealing 50% extra damage.",,,,,,,,,,"*Note that fragmentation chance is currently bugged, and chances will be lower than their chance implies, and any ammo with less than 20 pen value will be completely unable to fragment.",,,,,,
,,,,,,,,,,,,,,,,,
,A more detailed explaination on how these values affect damage and armor penetration can be found here: ,,,,,,,,,,,,,,,,
,https://tarkovaftermidnight.wordpress.com/2018/02/26/armor-and-penetration/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Ammo Chart is updated for 0.12.12 as of 12/12,,,,,,,,,,,,,,,,
,12/12/2021: 12.12 major update,,,,,,,,,,,,,,,,
,9/15/2021:  Small Ammo Changes,,,,,,,,,,,,,,,,
,6/30/2021:  12.11 Update,,,,,,,,,,,,,,,,
,3/30/2021:  12.10 Update,,,,,,,,,,,,,,,,
,1/14/2021:  9x39mm Pen buffs,,,,,,,Armor Effectiveness vs.,,,,,,,,,
,,,,,,,This is just a guideline and does not reflect ammo's aboslute effectiveness against armor,,,,,,,,,,
,Ammo Type,,Damage,Pen Value,Armor Damage %,Frag. Chance*,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Notes,"Armor effectiveness uses per shot, meaning X pellets hitting the target on every shot. Because each pellet does a minimum of 1 durability damage to armor, it becomes effective at breaking down armor and eventually penetrating.",,,
12 Gauge Shot,5.25mm Buckshot,,37,1,15,0%,3,3,3,3,3,3,8 Pellets,,,,
,"8.5mm Buckshot ""Magnum""",,50,2,26,0%,3,3,3,3,3,3,8 Pellets,,,,
,"6.5mm Buckshot ""Express""",,35,3,26,0%,3,3,3,3,3,3,9 Pellets,,,,
,7mm Buckshot,,39,3,26,0%,3,3,3,3,3,3,8 Pellets,,,,
,Flechette,,25,31,26,0%,6,6,6,5,5,5,"8 Darts, the armor damage is pretty high and with 8 total darts, it destroys armor very quickly",,,,
12 Gauge Slugs,RIP Slug,,265,2,11,100%,0,0,0,0,0,0,"Because it has less than 20 pen, even though it has a 100% fragment chance, it can't fragment",,,,
,Superformance HP Slug,,220,5,12,39%,0,0,0,0,0,0,^ This is true of all ammo under 20 pen,,,,
,Grizzly 40 Slug,,190,12,48,12%,6,2,0,0,0,0,,,,,
,Copper Sabot Premier HP,,206,14,46,38%,6,3,1,0,0,0,,,,,
,Lead Slug,,167,15,55,20%,6,4,1,0,0,0,,,,,
,Dual Sabot Slug,,85,17,65,10%,6,5,2,0,0,0,2 Slugs,,,,
,"Slug ""Poleva-3""",,140,17,40,20%,6,5,1,0,0,0,,,,,
,FTX Custom Lite Slug,,183,20,50,10%,6,6,2,0,0,0,,,,,
,"Slug ""Poleva-6u"" ",,150,20,50,15%,6,6,2,0,0,0,,,,,
,Shell With .50 BMG (Tracer),,197,26,57,5%,6,6,5,3,1,0,,,,,
,AP 20 Slug,,164,37,65,3%,6,6,6,5,4,3,,,,,
20 Gauge,5.6mm Buckshot,,26,1,12,0%,3,3,3,3,3,3,8 Pellets,,,,
,6.2mm Buckshot,,22,2,13,0%,3,3,3,3,3,3,8 Pellets,,,,
,7.5mm Buckshot,,25,3,14,0%,3,3,3,3,3,3,8 Pellets,,,,
,7.3mm Buckshot,,23,3,13,0%,3,3,3,3,3,3,9 Pellets,,,,
,Devastator Slug,,198,5,13,100%,1,0,0,0,0,0,,,,,
,"Slug ""Poleva-3""",,120,14,35,20%,6,2,0,0,0,0,,,,,
,Star Slug,,154,16,42,10%,6,5,1,0,0,0,,,,,
,"Slug ""Poleva-6u"" ",,135,17,40,15%,6,5,1,0,0,0,,,,,
23x75 mm,"""Star"" Flashbang Slug",,0,0,0,20%,0,0,0,0,0,0,,,,,
,Shrapnel 25,,78,10,20,0%,6,4,3,3,3,3,8 Pellets,,,,
,Shrapnel 10,,87,11,20,0%,6,4,3,3,3,3,8 Pellets,,,,
,"""Barricade"" Slug",,192,39,75,20%,6,6,6,6,4,4,,,,,
9x18mm,SP8,,67,1,2,60%,0,0,0,0,0,0,,,,,
,SP7,,77,2,5,2%,0,0,0,0,0,0,,,,,
,PSV,,69,3,5,40%,0,0,0,0,0,0,,,,,
,P gzh,,50,5,16,25%,2,0,0,0,0,0,,,,,
,PSO gzh,,54,5,13,35%,2,0,0,0,0,0,,,,,
,PS gs PPO,,55,6,16,25%,3,0,0,0,0,0,,,,,
,PRS gs,,58,6,16,30%,3,0,0,0,0,0,,,,,
,PPE gzh,,61,7,15,35%,4,0,0,0,0,0,,,,,
,PPT gzh,,59,8,22,17%,5,1,0,0,0,0,,,,,
,PST gzh,,50,12,26,20%,6,1,0,0,0,0,,,,,
,RG028 gzh,,65,13,26,2%,6,2,0,0,0,0,,,,,
,BZT gzh,,53,18,28,17%,6,5,1,0,0,0,,,,,
,PMM,,58,24,33,17%,6,6,4,0,0,0,,,,,
,PBM,,40,28,30,16%,6,6,5,1,0,0,,,,,
7.62x25mm,LRNPC,,66,7,27,35%,5,0,0,0,0,0,,,,,
,LRN,,64,8,28,35%,5,0,0,0,0,0,,,,,
,FMJ43,,60,11,29,25%,6,1,0,0,0,0,,,,,
,akbs,,58,12,32,25%,6,2,0,0,0,0,,,,,
,P Gl,,58,14,32,25%,6,3,0,0,0,0,,,,,
,T Gzh (Tracer),,55,18,34,17%,6,4,0,0,0,0,,,,,
,Pst gzh,,50,25,36,20%,6,6,4,1,0,0,,,,,
9x19mm,RIP,,102,2,11,100%,0,0,0,0,0,0,,,,,
,Quakemaker,,85,8,22,10%,6,1,0,0,0,0,,,,,
,PSO gzh,,59,10,32,25%,6,2,0,0,0,0,,,,,
,Luger CCI,,70,10,38,25%,6,2,0,0,0,0,,,,,
,T Gzh (Tracer),,58,14,33,15%,6,3,1,0,0,0,,Green Tracer,,,
,PST gzh,,54,20,33,15%,6,6,2,0,0,0,,,,,
,AP 6.3,,52,30,48,5%,6,6,6,4,2,1,,,,,
,PBP,,52,39,53,5%,6,6,6,5,4,3,,Previously 7n31,,,
.45,RIP,,137,3,12,100%,1,0,0,0,0,0,,,,,
,Hydroshok,,105,13,30,50%,6,3,0,0,0,0,,,,,
,Lasermatch (Tracer),,80,19,37,1%,6,5,1,0,0,0,,,,,
,ACP FMJ,,76,25,36,1%,6,6,3,1,0,0,,,,,
,ACP AP,,70,38,48,1%,6,6,6,5,4,2,,,,,
9x21mm,PE Gzh,,80,15,63,35%,6,2,0,0,0,0,,Previously SP-12,,,
,P Gzh,,65,18,44,30%,6,3,0,0,0,0,,Previously SP-11,,,
,PS Gzh,,49,35,46,20%,6,6,6,4,3,2,,Previously SP-10,,,
,BT (Tracer),,63,39,47,20%,6,6,6,5,4,3,,Previously SP-13,,,
5.7x28 mm,r37f,,98,8,7,100%,4,0,0,0,0,0,,,,,
,ss198lf,,74,10,15,80%,6,1,0,0,0,0,,,,,
,r37x,,81,11,14,70%,6,1,0,0,0,0,,,,,
,ss197sr,,62,20,22,50%,6,6,2,0,0,0,,,,,
,l191 (Tracer),,58,33,41,20%,6,6,6,3,2,2,,,,,
,sb193,,54,35,37,20%,6,6,6,4,3,2,,,,,
,ss190,,49,37,43,20%,6,6,6,5,4,3,,,,,
4.6x30 mm,Action SX,,65,18,39,50%,6,5,2,0,0,0,,,,,
,Subsonic SX,,45,36,46,20%,6,6,6,5,3,2,,,,,
,FMJ SX,,43,40,41,20%,6,6,6,6,4,3,,,,,
,AP SX,,35,53,46,10%,6,6,6,6,6,5,,,,,
9x39mm,SP5,,68,38,52,20%,6,6,6,5,4,3,,,,,
,SP6,,58,46,60,10%,6,6,6,6,5,4,,,,,
,PAB9,,62,48,72,10%,6,6,6,6,6,5,,,,,
,SPP,,64,50,56,20%,6,6,6,6,6,5,,,,,
,BP,,60,55,68,10%,6,6,6,6,6,5,,,,,
.366,Geksa,,110,14,38,45%,6,3,0,0,0,0,,,,,
,FMJ,,98,23,48,25%,6,6,4,1,0,0,,,,,
,EKO,,73,30,40,20%,6,6,6,3,1,0,,,,,
,AP,,90,42,60,1%,6,6,6,6,5,4,,,,,
5.45x39 mm,SP,,68,11,34,45%,6,1,0,0,0,0,,,,,
,HP,,74,11,20,35%,6,1,0,0,0,0,,,,,
,PRS,,60,14,28,30%,6,2,0,0,0,0,,,,,
,US,,65,15,34,10%,6,3,0,0,0,0,,,,,
,T (Tracer),,57,20,38,16%,6,6,1,0,0,0,,,,,
,FMJ,,56,21,30,25%,6,6,1,0,0,0,,,,,
,PS,,50,27,35,40%,6,6,5,2,0,0,,,,,
,PP,,48,33,32,17%,6,6,6,4,2,0,,,,,
,BP,,49,35,41,16%,6,6,6,4,3,1,,,,,
,BT (Tracer),,44,37,49,16%,6,6,6,5,4,3,,,,,
,7n40,,52,44,50,2%,6,6,6,6,5,4,,,,,
,BS,,40,51,57,17%,6,6,6,6,6,5,,,,,
,"PPBS ""Igolnik""",,37,62,60,2%,6,6,6,6,6,6,,,,,
5.56x45 mm,Warmageddon,,85,3,14,90%,1,0,0,0,0,0,,,,,
,HP,,75,9,22,70%,5,0,0,0,0,0,,,,,
,MK 255 Mod 0,,60,17,32,3%,6,4,1,0,0,0,,,,,
,Mk318 SOST,,67,20,35,15%,6,6,2,0,0,0,,,,,
,M856 (Tracer),,55,23,34,33%,6,6,3,1,0,0,,,,,
,FMJ,,52,24,33,50%,6,6,4,1,0,0,,,,,
,M855,,50,28,37,40%,6,6,5,3,2,0,,,,,
,M856A1 (Tracer),,51,37,52,33%,6,6,6,5,4,3,,,,,
,M855A1,,46,45,52,34%,6,6,6,6,5,4,,,,,
,M995,,40,53,58,32%,6,6,6,6,6,5,,,,,
,SSA AP,,36,56,64,20%,6,6,6,6,6,5,,,,,
7.62x39 mm,HP,,87,15,35,26%,6,4,1,0,0,0,,,,,
,US,,56,29,42,8%,6,6,5,3,1,0,,,,,
,T45M1,,62,30,46,12%,6,6,6,3,1,0,,,,,
,PS,,57,32,52,25%,6,6,6,4,3,2,,,,,
,BP,,58,47,63,12%,6,6,6,6,5,4,,,,,
,MAI AP,,47,58,76,5%,6,6,6,6,6,5,,,,,
.300 blk,Whisper,,90,14,18,35%,6,4,2,1,0,0,,,,,
,VMAX,,72,20,25,25%,6,6,4,3,1,0,,,,,
,BCP FMJ,,60,28,36,30%,6,6,5,3,2,0,,,,,
,M62 (Tracer),,54,34,40,20%,6,6,6,5,4,2,,,,,
,AP,,55,44,60,30%,6,6,6,6,5,4,,,,,
7.62x51 mm,Ultra Nosler,,107,15,20,70%,6,4,0,0,0,0,,,,,
,FMJ,,88,31,33,25%,6,6,6,2,0,0,,Previously BPZ,,,
,SP,,60,36,40,20%,6,6,6,5,2,0,,Previously TPZ,,,
,M80,,80,41,66,17%,6,6,6,6,5,4,,,,,
,M62 (Tracer),,79,44,75,14%,6,6,6,6,5,5,,,,,
,M61,,70,64,83,13%,6,6,6,6,6,6,,,,,
,M993,,67,70,85,13%,6,6,6,6,6,6,,,,,
7.62x54R,T-46M (Tracer),,82,41,83,18%,6,6,6,6,4,3,,,,,
,LPS Gzh,,81,42,78,18%,6,6,6,6,4,3,,,,,
,PS,,86,45,84,8%,6,6,6,6,5,5,,Previously 7n1,,,
,BT (Tracer),,78,59,87,8%,6,6,6,6,6,6,,Previously 7BT1,,,
,SNB,,75,62,87,8%,6,6,6,6,6,6,,,,,
,BS,,72,70,88,8%,6,6,6,6,6,6,,Previously 7n37,,,
12.7x55 mm,ps12a,,165,10,22,70%,6,0,0,0,0,0,,,,,
,ps12,,115,28,60,30%,6,6,5,2,1,0,,,,,
,ps12b,,102,46,57,30%,6,6,6,6,5,4,,,,,
.338 Lapua Magnum,Tac-X,,196,18,55,50%,6,5,3,1,0,0,,,,,
,UPZ,,142,32,70,60%,6,6,6,5,4,2,,,,,
,FMJ,,122,47,83,20%,6,6,6,6,5,5,,,,,
,AP,,115,79,89,13%,6,6,6,6,6,6,,,,,
Mounted Weapons,30mm Grenade,,199,1,95,0%,0,0,0,0,0,0,This has an explosion radius like grenades which does most (all) of the damage,,,,
,12.7x108mm,,182,88,88,17%,6,6,6,6,6,6,,,,,
,12.7x108mm Tracer,,199,80,95,17%,6,6,6,6,6,6,,,,,
Other,40mm Buckshot Grenade,,160,5,95,0%,5,3,3,3,3,3,15 Pellets,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Pre-.12 Chart,,Pre-.12 Chart,,Pre-.12 Chart,,Pre-.12 Chart,,,,Pre-.12 Chart,,,,,,,
,,,,,,,,,,,,,,Pre-.12 Chart,,,
,,,,,,,,,,,,,,,,,
9x18,9x18pm_SP8_gzh,,67,3,40,2%,1,0,0,0,0,0,,,,,
,9x18pm_PPE_gzh,,58,5,23,35%,3,0,0,0,0,0,,,,,
,9x18pm_PRS_gs,,56,5,23,30%,3,0,0,0,0,0,,,,,5.25mm Buckshot
,9x18pm_PSO_gzh,,54,5,23,35%,3,0,0,0,0,0,,,,,"8.5mm Buckshot ""Magnum"""
,9x18pm_PSV,,62,5,29,2%,3,0,0,0,0,0,,,,,"6.5mm Buckshot ""Express"""
,9x18pm_P_gzh,,53,5,24,25%,3,0,0,0,0,0,,,,,7mm Buckshot
,9x18pm_PS_gs_PPO,,53,6,24,25%,4,0,0,0,0,0,,,,,Flechette
,9x18pm_PPT_gzh,,53,6,24,17%,4,0,0,0,0,0,,,,,RIP Slug
,9x18pm_SP7_gzh,,70,6,38,2%,4,0,0,0,0,0,,,,,Superformance HP Slug
,9x18pm_RG028_gzh,,51,7,26,0%,5,0,0,0,0,0,,,,,Grizzly 40 Slug
,9x18pm_PST_gzh,,49,7,26,20%,5,0,0,0,0,0,,,,,Copper Sabot Premier HP
